run_id,Vrf_low_kV,Vrf_high_kV,voltage_ratio,jump_turns,jump_start_turn,T_s_turns_low,jump_over_Ts,min_time_sigma_ns,turn_of_min,hit_end_of_window,eps_growth,valid,under_threshold
run_1785876139062185,78.38888888888889,320.0,4.082211197732105,5120,500,5174.387581298968,0.9894890785731758,8.672972408371846,2696,False,67.56025020032122,False,False
run_1785876140558724,78.38888888888889,320.0,4.082211197732105,20480,500,5174.387581298968,3.9579563142927032,10.576643799436685,2999,True,8.102975974734822,False,False
run_1785876142118410,89.44444444444444,320.0,3.577639751552795,5,500,4844.060080272385,0.0010321919871230925,5.593605386254447,1148,False,235.32976694904517,False,False
run_1785876143603589,89.44444444444444,320.0,3.577639751552795,20,500,4844.060080272385,0.00412876794849237,5.593268235810581,1156,False,235.36220426205216,False,False
run_1785876145130084,89.44444444444444,320.0,3.577639751552795,80,500,4844.060080272385,0.01651507179396948,5.594574908557569,1186,False,235.23001316430063,False,False
run_1785876146669090,89.44444444444444,320.0,3.577639751552795,320,500,4844.060080272385,0.06606028717587792,5.642336120830952,1305,False,230.54921293594785,False,False
run_1785876148249700,89.44444444444444,320.0,3.577639751552795,1280,500,4844.060080272385,0.2642411487035117,6.3834601937708815,1744,False,169.65942484996708,False,False
run_1785876149739921,89.44444444444444,320.0,3.577639751552795,5120,500,4844.060080272385,1.0569645948140467,8.697780066367248,2693,False,56.306015182251386,False,False
run_1785876151217694,89.44444444444444,320.0,3.577639751552795,20480,500,4844.060080272385,4.227858379256187,10.311664902989907,2999,True,5.909005502660194,False,False
run_1785876152647847,100.5,320.0,3.18407960199005,5,500,4569.8629082881525,0.001094124725477372,5.756502040412561,1148,False,204.83342759667264,False,False
run_1785876154276362,100.5,320.0,3.18407960199005,20,500,4569.8629082881525,0.004376498901909488,5.756100698196743,1156,False,204.86703428492171,False,False
run_1785876155727476,100.5,320.0,3.18407960199005,80,500,4569.8629082881525,0.017505995607637954,5.757149108010433,1186,False,204.77294099995635,False,False
run_1785876157171065,100.5,320.0,3.18407960199005,320,500,4569.8629082881525,0.07002398243055181,5.803195622936326,1305,False,200.78889827859297,False,False
run_1785876159077889,100.5,320.0,3.18407960199005,1280,500,4569.8629082881525,0.28009592972220726,6.524943715999589,1744,False,147.7221885756786,False,False
run_1785876160992528,100.5,320.0,3.18407960199005,5120,500,4569.8629082881525,1.120383718888829,8.698253337217896,2714,False,47.35920490794508,False,False
run_1785876162463303,100.5,320.0,3.18407960199005,20480,500,4569.8629082881525,4.481534875555316,10.07915751859872,2999,True,4.087211024239451,False,False
run_1785876164050588,111.55555555555556,320.0,2.8685258964143427,5,500,4337.511080695151,0.0011527348073537775,5.906334766000055,1149,False,179.87966383573354,False,False
run_1785876165544343,111.55555555555556,320.0,2.8685258964143427,20,500,4337.511080695151,0.00461093922941511,5.905887668517327,1156,False,179.9144184399279,False,False
run_1785876167138106,111.55555555555556,320.0,2.8685258964143427,80,500,4337.511080695151,0.01844375691766044,5.906682507788508,1186,False,179.84990587214904,False,False
run_1785876168852955,111.55555555555556,320.0,2.8685258964143427,320,500,4337.511080695151,0.07377502767064176,5.950851720424018,1306,False,176.41812544103965,False,False
run_1785876170698032,111.55555555555556,320.0,2.8685258964143427,1280,500,4337.511080695151,0.29510011068256703,6.6505382506808735,1743,False,129.62041317439073,False,False
run_1785876172542271,111.55555555555556,320.0,2.8685258964143427,5120,500,4337.511080695151,1.1804004427302681,8.641632569717732,2999,True,41.479630698039884,False,False
run_1785876174104594,111.55555555555556,320.0,2.8685258964143427,20480,500,4337.511080695151,4.7216017709210725,9.860107758113383,2490,False,2.8938081809808684,False,False
run_1785876175635885,122.61111111111111,320.0,2.6098776619845943,5,500,4137.340658867041,0.0012085057558130074,6.045313608902941,1149,False,158.97251517345478,False,False
run_1785876177259747,122.61111111111111,320.0,2.6098776619845943,20,500,4137.340658867041,0.0048340230232520294,6.044830473686168,1156,False,159.00704147274348,False,False
run_1785876179213070,122.61111111111111,320.0,2.6098776619845943,80,500,4137.340658867041,0.019336092093008118,6.045378614045344,1186,False,158.96601194066898,False,False
run_1785876180721402,122.61111111111111,320.0,2.6098776619845943,320,500,4137.340658867041,0.07734436837203247,6.0875187100493875,2590,False,155.98514119203602,False,False
run_1785876182382668,122.61111111111111,320.0,2.6098776619845943,1280,500,4137.340658867041,0.3093774734881299,6.762959301143995,1743,False,114.33723225260428,False,False
run_1785876183870153,122.61111111111111,320.0,2.6098776619845943,5120,500,4137.340658867041,1.2375098939525195,8.57122023984701,2999,True,36.89756927020705,False,False
run_1785876185310935,122.61111111111111,320.0,2.6098776619845943,20480,500,4137.340658867041,4.950039575810078,9.656099537588052,2299,False,2.109318523351607,False,False
run_1785876187111056,133.66666666666666,320.0,2.3940149625935163,5,500,3962.5488797298167,0.0012618140877901098,6.175117490737353,1149,False,141.10831910622906,False,False
run_1785876189312445,133.66666666666666,320.0,2.3940149625935163,20,500,3962.5488797298167,0.005047256351160439,6.1745849962029995,1157,False,141.1424167131968,False,False
run_1785876190957788,133.66666666666666,320.0,2.3940149625935163,80,500,3962.5488797298167,0.020189025404641757,6.174898277670743,1187,False,141.12026727196434,False,False
run_1785876192821082,133.66666666666666,320.0,2.3940149625935163,320,500,3962.5488797298167,0.08075610161856703,6.214890264891144,2590,False,138.514377672724,False,False
run_1785876194295377,133.66666666666666,320.0,2.3940149625935163,1280,500,3962.5488797298167,0.3230244064742681,6.864261047831882,1743,False,101.19205913245207,False,False
run_1785876195894216,133.66666666666666,320.0,2.3940149625935163,5120,500,3962.5488797298167,1.2920976258970724,8.496724502862724,2999,True,33.109822641541946,False,False
run_1785876197478586,133.66666666666666,320.0,2.3940149625935163,20480,500,3962.5488797298167,5.16839050358829,9.467634381377819,2150,False,1.5687654885045774,False,False
run_1785876199011501,144.72222222222223,320.0,2.2111324376199617,5,500,3808.1897203731805,0.00131295979642265,6.2970407012949305,1150,False,125.59036513200621,False,False
run_1785876200546822,144.72222222222223,320.0,2.2111324376199617,20,500,3808.1897203731805,0.0052518391856906,6.296471590873525,1157,False,125.62486288702615,False,False
run_1785876202065114,144.72222222222223,320.0,2.2111324376199617,80,500,3808.1897203731805,0.0210073567427624,6.296557666587233,1187,False,125.6182573518787,False,False
