turn,Vrf_kV,dE_avg_GeV,dE_sigma_GeV,dE_min_GeV,dE_max_GeV,time_avg_ns,time_sigma_ns,time_min_ns,time_max_ns
516,320.0,-8.306404767174471e-05,0.006298320058957168,-0.012492670083113196,0.012454989560677199,0.08631701936020902,4.0907301083171035,-8.112485393408633,8.145632239980358
517,320.0,-8.344990877272568e-05,0.0063126205238952255,-0.012520009335749706,0.012482564281194986,0.08620424785559476,4.084016201200093,-8.098466496275563,8.131978343472355
518,320.0,-8.383526335850802e-05,0.006326903004479891,-0.01254727251678594,0.01251006314978488,0.08609095245303476,4.077284405780435,-8.084398307511094,8.1182749656937
519,320.0,-8.42201090839538e-05,0.006341167275691637,-0.012574459459027581,0.01253748599777075,0.08597713384405478,4.07053479767282,-8.070280912351308,8.104522189690897
520,320.0,-8.460444360701597e-05,0.006355413114031219,-0.012601569995737794,0.012564832656932428,0.08586279272333205,4.063767452923248,-8.056114396334237,8.090720098811147
521,320.0,-8.498826458875249e-05,0.006369640297504623,-0.012628603960638316,0.012592102959506826,0.08574792978869222,4.056982448011929,-8.041898845296515,8.076868776702781
522,320.0,-8.537156969334069e-05,0.006383848605608201,-0.012655561187910535,0.012619296738189017,0.08563254574109955,4.050179859856201,-8.027634345374622,8.062968307314804
523,320.0,-8.575435658809158e-05,0.006398037819314006,-0.012682441512196578,0.01264641382613333,0.0855166412846686,4.043359765813562,-8.01332098300361,8.049018774893938
524,320.0,-8.613662294346399e-05,0.00641220772105532,-0.012709244768600378,0.012673454056954438,0.08540021712665015,4.036522243684638,-7.9989588449171265,8.03502026398678
525,320.0,-8.651836643307876e-05,0.006426358094712371,-0.01273597079268876,0.012700417264728439,0.08528327397742003,4.029667371716271,-7.984548018144807,8.020972859439382
526,320.0,-8.689958473373318e-05,0.00644048872559824,-0.012762619420492508,0.012727303283993944,0.08516581255048543,4.022795228604613,-7.970088590016189,8.006876646394204
527,320.0,-8.728027552541487e-05,0.006454599400444955,-0.01278919048850744,0.012754111949753155,0.08504783356248245,4.015905893498277,-7.955580648154722,7.992731710292702
528,320.0,-8.766043649131618e-05,0.006468689907389766,-0.01281568383369547,0.012783958431805608,0.08492933773316409,4.008999446001527,-7.94102428048285,7.97853813687243
529,320.0,-8.80400653178482e-05,0.006482760035961607,-0.012842099293485678,0.012813745624665064,0.08481032578540368,4.002075966177488,-7.926419575216499,7.964296012168234
530,320.0,-8.841915969465496e-05,0.006496809577067729,-0.012868436705775373,0.012843455001498116,0.08469079844517209,3.995135534551456,-7.911766620867667,7.950005422509264
531,320.0,-8.879771731462748e-05,0.006510838322980519,-0.012894695908931152,0.01287308638009024,0.08457075644155956,3.988178232114183,-7.8970655062426545,7.935666454522419
532,320.0,-8.917573587391794e-05,0.006524846067324489,-0.012920876741789957,0.012902639578692917,0.0844502005067531,3.9812041403252665,-7.882316320442982,7.921279195128108
533,320.0,-8.955321307195366e-05,0.00653883260506344,-0.012947015300479479,0.012932114416024815,0.08432913137603049,3.9742133411165366,-7.867519152862798,7.906843731541954
534,320.0,-8.993014661145116e-05,0.006552797732487794,-0.012975549232014778,0.012961510711272965,0.08420754978776629,3.9672059168955314,-7.852674093188938,7.892382550959354
535,320.0,-9.030653419843028e-05,0.006566741247202096,-0.013004004350151914,0.012990828284093951,0.08408545648342858,3.960181950548991,-7.837781231400868,7.87867511106225
536,320.0,-9.06823735422281e-05,0.006580662948112683,-0.013032380480324124,0.013020066954615082,0.08396285220757387,3.9531415254463904,-7.82284065777111,7.864919724861778
537,320.0,-9.105766235551305e-05,0.0065945626354155205,-0.013060677448437865,0.013049226543435568,0.08383973770782198,3.9460847254435785,-7.807852462862741,7.8511164757517236
538,320.0,-9.143239835429867e-05,0.0066084401105841895,-0.01308889508087395,0.013078306871627688,0.0837161137348793,3.9390116348863757,-7.7928167375306145,7.837265447416826
539,320.0,-9.18065792579578e-05,0.006622295176358049,-0.013117033204488687,0.01310730776073797,0.08359198104252082,3.931922338614312,-7.777733572918891,7.823366723834056
540,320.0,-9.218020278923637e-05,0.006636127636730548,-0.013145091646615011,0.013136229032788344,0.08346734038758447,3.9248169219643523,-7.762603060462652,7.809420389270457
541,320.0,-9.255326667426734e-05,0.006649937296937688,-0.01317307023506361,0.01316507051027732,0.08334219252996536,3.917695470774688,-7.747425291885406,7.795426528283656
542,320.0,-9.292576864258468e-05,0.006663723963446656,-0.013200968798124059,0.013193832016181142,0.08321653823262815,3.9105580713886097,-7.732200359200334,7.781385225720953
543,320.0,-9.329770642713707e-05,0.006677487443944592,-0.013228787164565941,0.013222513373954956,0.08309037826158193,3.9034048106583903,-7.716928354707761,7.767296566718869
544,320.0,-9.366907776430186e-05,0.00669122754732752,-0.013256525163639975,0.013251114407533954,0.08296371338587397,3.896235775949236,-7.701609370997289,7.753160636702802
545,320.0,-9.4039880393899e-05,0.00670494408368942,-0.01328418262507913,0.01327963494133455,0.08283654437760082,3.889051055143304,-7.686243500944386,7.738977521387
546,320.0,-9.441011205920465e-05,0.006718636864311444,-0.013311759379099751,0.013308074800255509,0.082708872011906,3.88185073664376,-7.670830837711236,7.7247473067724
547,320.0,-9.477977050696504e-05,0.0067323057016512875,-0.013339255256402668,0.013336433809679112,0.0825806970669533,3.874634909378903,-7.655371474746744,7.710470079147541
548,320.0,-9.514885348741042e-05,0.006745950409332688,-0.013366670088174309,0.013364711795472304,0.08245202032394404,3.8674036628063253,-7.639865505785281,7.696145925088899
549,320.0,-9.551735875426852e-05,0.006759570802135082,-0.013394003706087818,0.01339290858398783,0.08232284256708702,3.860157086917153,-7.624313024845378,7.681774931456744
