turn,Vrf_kV,time_mean_ns,time_sigma_ns,time_min_ns,time_max_ns,dE_mean_MeV,dE_sigma_MeV,dE_min_MeV,dE_max_MeV,t2,dE2,t_dE,eps_rms,Q1,Q2,Q_amp,theta_Q
586,20.0,0.07585115871970095,10.53209407849797,-21.055615809246746,21.098581198782767,-0.04438857040977057,4.794703649712755,-9.483959438258033,9.516196096711656,110.93075907661111,2.2991153433751836e-05,0.0003373456083303547,0.05050061683181172,-0.0021548261008814003,0.0033467446890044898,0.003980449162898516,1.0714205992909354
587,20.0,0.0757909110599906,10.532140163182323,-21.056471847543776,21.098995109490687,-0.04440978674106808,4.794683017593087,-9.48361853660156,9.515714987164364,110.93172067911746,2.2990957468353935e-05,0.0003378372098464718,0.0505006172045902,-0.002150519459389419,0.003351621778619837,0.003982223310178794,1.0706344513841881
588,20.0,0.0757306345020776,10.532186311081398,-21.057319975407324,21.099401094158537,-0.044430986254987745,4.7946623572708065,-9.483274020818085,9.515230251323286,110.93268362033248,2.2990761232769235e-05,0.00033832827974248855,0.050500617580387284,-0.002146206851116379,0.0033564935941284434,0.003983999635442272,1.0698487312703395
589,20.0,0.07567032906886732,10.532232522124936,-21.058160192527794,21.099799152638923,-0.04445216894327002,4.7946416687764675,-9.482925891050145,9.514741889389102,110.93364789880756,2.2990564727291353e-05,0.0003388188172891339,0.050500617959200605,-0.0021418882825323987,0.0033613601282953425,0.003985778133180931,1.0690634388978646
590,20.0,0.0756099947832732,10.532278796242569,-21.058992498597263,21.100189284787007,-0.044473334797661905,4.794620952140665,-9.48257414744177,9.51476046142196,110.93461351309195,2.2990367952214282e-05,0.00033930882175784214,0.05050061834102771,-0.0021375637601167524,0.0033662213738925644,0.003987558797888203,1.0682785742129588
591,20.0,0.07554963166822057,10.53232513336385,-21.05981689331253,21.100571490461334,-0.04449448380991701,4.794600207394031,-9.482218790138486,9.514874986793517,110.935580461733,2.29901709078324e-05,0.0003397982924209163,0.05050061872586614,-0.0021332332903570817,0.0033710773237007586,0.003989341624059936,1.0674941371593578
592,20.0,0.07548923974664065,10.532371533418223,-21.060633376371186,21.10094576952298,-0.04451561597179552,4.794579434567241,-9.48185981928731,9.51498588519152,110.93654874327605,2.2989973594440473e-05,0.000340287228551457,0.050500619113713445,-0.0021288968797499885,0.0033759279705084877,0.003991126606194145,1.066710127678459
593,20.0,0.07542881904148478,10.532417996335052,-21.061441947475487,21.101312121835576,-0.04453673127506422,4.7945586336910075,-9.481497235036754,9.515093156570044,110.93751835626448,2.2989776012333653e-05,0.0003407756294232876,0.050500619504567114,-0.0021245545348004416,0.0033807733071114896,0.003992913738790093,1.0659265457093197
594,20.0,0.07536836957571146,10.532464522043595,-21.062242606330273,21.10167054726702,-0.04455782971149652,4.794537804796087,-9.481131037536823,9.515196800884668,110.93848929923955,2.2989578161807475e-05,0.000341263494311169,0.050500619898424616,-0.0021202062620226526,0.0033856133263147916,0.003994703016350574,1.0651433911886212
595,20.0,0.07530789137229384,10.532511110473026,-21.06303535264243,21.102021045686826,-0.0445789112728723,4.794516947913271,-9.480761226939016,9.515296818092471,110.93946157074068,2.298938004315786e-05,0.0003417508224905271,0.05050062029528341,-0.0021158520679388404,0.0033904480209300297,0.003996494433379011,1.0643606640507286
