turn,Vrf_kV,time_sigma_ns,dE_sigma_MeV,eps_rms_ns_GeV,eps_full_eVs
4969,320.0,5.2835491243349235,14.448424416828312,0.07575284440980655,0.9593036658807986
4970,320.0,5.286030249947461,14.44248684848196,0.07575283558264283,0.9593597394139833
4971,320.0,5.288519431164774,14.436524946372964,0.07575282659647492,0.9594152869421784
4972,320.0,5.2910165365403,14.430538968879775,0.07575281745238523,0.9594702977141799
4973,320.0,5.293521434401188,14.42452917573123,0.07575280815149031,0.9595247610850596
4974,320.0,5.296033992856553,14.418495827999548,0.07575279869494017,0.9595786665181437
4975,320.0,5.298554079805835,14.412439188093192,0.07575278908391886,0.9596320035869929
4976,320.0,5.3010815629470125,14.406359519749731,0.07575277931964385,0.9596847619773418
4977,320.0,5.303616309784822,14.400257088028532,0.0757527694033657,0.9597369314890197
4978,320.0,5.306158187638956,14.394132159303432,0.07575275933636809,0.9597885020378546
4979,320.0,5.308707063652245,14.387985001255302,0.07575274911996789,0.9598394636575528
4980,320.0,5.311262804798725,14.38181588286452,0.07575273875551408,0.9598898065015444
4981,320.0,5.313825277891775,14.375625074403384,0.07575272824438842,0.9599395208448228
4982,320.0,5.316394349592157,14.369412847428409,0.07575271758800486,0.959988597085748
4983,320.0,5.318969886416017,14.36317947477256,0.075752706787809,0.9600370257478261
4984,320.0,5.32155175474291,14.356925230537403,0.07575269584527869,0.9600847974814759
4985,320.0,5.324139820823691,14.350650390085136,0.07575268476192269,0.9601319030657501
4986,320.0,5.326733950788473,14.344355230030569,0.0757526735392813,0.960178333410054
4987,320.0,5.3293340106544695,14.338040028233005,0.07575266217892568,0.9602240795558232
4988,320.0,5.331939866333861,14.33170506378801,0.07575265068245784,0.9602691326781856
4989,320.0,5.334551383641544,14.325350617019131,0.07575263905150985,0.9603134840875848
4990,320.0,5.337168428302935,14.318976969469487,0.07575262728774419,0.9603571252313942
4991,320.0,5.339790865961662,14.312584403893295,0.07575261539285308,0.9604000476954915
4992,320.0,5.342418562187266,14.306173204247301,0.0757526033685584,0.9604422432058146
4993,320.0,5.345051382482813,14.299743655682102,0.0757525912166111,0.9604837036298831
4994,320.0,5.347689192292522,14.293296044533392,0.07575257893879125,0.9605244209783019
4995,320.0,5.3503318570093,14.286830658313109,0.07575256653690741,0.9605643874062281
4996,320.0,5.352979241982285,14.280347785700494,0.07575255401279672,0.9606035952148207
4997,320.0,5.355631212524303,14.273847716533043,0.07575254136832407,0.9606420368526517
4998,320.0,5.358287633919308,14.267330741797378,0.07575252860538227,0.9606797049170969
4999,320.0,5.360948371429781,14.260797153620013,0.07575251572589126,0.9607165921556953
5000,320.0,5.363613290304073,14.254247245258023,0.07575250273179818,0.9607526914674817
5001,320.0,5.366282255783717,14.247681311089629,0.07575248962507668,0.9607879959042878
5002,320.0,5.368955133110692,14.241099646604663,0.0757524764077268,0.9608224986720195
5003,320.0,5.371631787534657,14.234502548394971,0.07575246308177463,0.9608561931319016
5004,320.0,5.374312084320115,14.227890314144664,0.0757524496492719,0.9608890728016932
5005,320.0,5.376995888753553,14.22126324262034,0.07575243611229543,0.9609211313568755
5006,320.0,5.37968306615053,14.214621633661121,0.075752422472947,0.9609523626318058
5007,320.0,5.382373481862741,14.207965788168679,0.07575240873335298,0.9609827606208529
5008,320.0,5.385067001284998,14.2012960080971,0.07575239489566374,0.9610123194794873
5009,320.0,5.387763489862198,14.194612596442655,0.07575238096205353,0.9610410335253515
5010,320.0,5.390462813096249,14.187915857233502,0.07575236693471986,0.9610688972393011
5011,320.0,5.393164836552918,14.181206095519252,0.07575235281588333,0.9610959052664072
5012,320.0,5.39586942586867,14.174483617360432,0.07575233860778705,0.9611220524169354
5013,320.0,5.398576446757427,14.167748729817882,0.07575232431269611,0.9611473336672904
5014,320.0,5.401285765017334,14.161001740941998,0.07575230993289772,0.9611717441609349
5015,320.0,5.403997246537419,14.154242959761904,0.07575229547070024,0.961195279209271
5016,320.0,5.406710757304248,14.147472696274514,0.07575228092843302,0.9612179342924942
5017,320.0,5.4094261634085115,14.140691261433481,0.07575226630844584,0.9612397050604159
5018,320.0,5.412143331051582,14.133898967138034,0.0757522516131087,0.9612605873332538
5019,320.0,5.41486212655202,14.127096126221733,0.0757522368448112,0.9612805771023927
5020,320.0,5.417582416352026,14.120283052441092,0.07575222200596218,0.9612996705311112
5021,320.0,5.420304067023854,14.113460060464112,0.07575220709898926,0.9613178639552784
5022,320.0,5.423026945276189,14.106627465858686,0.07575219212633859,0.96133515388402
5023,320.0,5.425750917960429,14.09978558508093,0.07575217709047384,0.9613515370003459
5024,320.0,5.428475852077019,14.09293473546336,0.07575216199387663,0.9613670101617605
