turn,Vrf_kV,K0_GeV,phi_s_deg,time_mean_ns,time_sigma_ns,time_min_ns,time_max_ns,dE_mean_MeV,dE_sigma_MeV,dE_min_MeV,dE_max_MeV,t2,dE2,t_dE,eps_rms,Q1,Q2,Q_amp,theta_Q,gamma,Zon_ohm,unstable
1179,34.0311189,24.0,0.0,0.021762656591371034,13.832704039202737,-27.581296377845433,27.587131044629587,-0.0914532122133963,7.783361147344663,-15.582007195703156,15.454707163348111,191.34417464939762,6.0589074440018594e-05,-0.002244128280499185,0.10764910742666162,-0.003467622037479522,-0.010444647288487903,0.011005228738001376,-0.9456731636068908,26.57893624393974,151.94280372493134,False
1180,34.03796,24.0,0.0,0.021640274797569168,13.83249010739045,-27.582206946913203,27.58533083631562,-0.09146356750093561,7.783494675861689,-15.582594971805047,15.4563065229019,191.338250872548,6.059115495334727e-05,-0.002252676476440862,0.10764911079899118,-0.003483989410551803,-0.010484432398964672,0.01104814486424292,-0.9458088344239958,26.57893624393974,151.94566714533062,False
1181,34.0448069,24.0,0.0,0.021517879102939865,13.832275340623804,-27.583100291818,27.58351340214375,-0.09147386659005896,7.783628745295648,-15.583172889890074,15.457896316112109,191.33230411795046,6.059324391286163e-05,-0.0022612372057823397,0.10764911415393986,-0.003500421837123549,-0.0105242758425329,0.011091137680487652,-0.945945408145431,26.57893624393974,151.9485424409552,False
1182,34.0516596,24.0,0.0,0.021395469583098646,13.832059737645961,-27.58397640856265,27.581678739730023,-0.09148410945301304,7.783763356604234,-15.583740945622575,15.459476538118818,191.32633435192517,6.0595341333897214e-05,-0.0022698104607502137,0.10764911749146167,-0.00351691942485487,-0.01056417758301353,0.011134207212297026,-0.946082876599873,26.57893624393974,151.95142963454495,False
1183,34.0585181,24.0,0.0,0.021273046313704958,13.831843297200628,-27.584835293156345,27.579826846697642,-0.09149429606204944,7.783898510745232,-15.58429913466871,15.46104718406327,191.32034154081344,6.059744723179372e-05,-0.0022783962335269432,0.10764912081151079,-0.0035334822813952913,-0.010604137584022072,0.011177353485230926,-0.9462212317067416,26.57893624393974,151.95432874884446,False
1184,34.065382400000004,24.0,0.0,0.02115060937045633,13.831626018032036,-27.585676941616782,27.57795772067874,-0.09150442638942445,7.784034208676504,-15.584847452696456,15.46260824908789,191.3143256509775,6.0599561621894905e-05,-0.0022869945162511136,0.10764912411404153,-0.0035501105143841945,-0.01064415580896984,0.011220576524847892,-0.9463604654750017,26.57893624393974,151.9572398066021,False
1185,34.072252500000005,24.0,0.0,0.021028158829082527,13.831407898884956,-27.58650134996546,27.57607135931346,-0.09151450040739946,7.784170451355988,-15.585385895375628,15.464159728336291,191.30828664880093,6.060168451954852e-05,-0.0022956053010172047,0.10764912739900835,-0.0035668042314501193,-0.010684232221062866,0.011263876356702804,-0.9465005700019674,26.57893624393974,151.9601628305698,False
1186,34.0791284,24.0,0.0,0.020905694765351937,13.831188938504702,-27.587308514234024,27.57416776024749,-0.09152451808824061,7.784307239741701,-15.585914458377879,15.465701616953284,191.30222450068848,6.0603815940106356e-05,-0.0023042285798756594,0.10764913066636587,-0.003583563540210407,-0.010724366783302242,0.011307253006346052,-0.9466415374721194,26.57893624393974,151.96309784350373,False
1187,34.08601010000001,24.0,0.0,0.020783217255071696,13.83096913563712,-27.588098430460462,27.57224692113664,-0.09153447940421923,7.784444574791727,-15.58643313737671,15.467233910084884,191.2961391730661,6.060595589892415e-05,-0.0023128643448327925,0.10764913391606874,-0.003600388548271661,-0.010764559458483657,0.011350706499322221,-0.9467833601559866,26.57893624393974,151.96604486816327,False
1188,34.0928976,24.0,0.0,0.02066072637408663,13.830748489028613,-27.58887109468955,27.570308839643133,-0.09154438432761153,7.784582457464219,-15.586941928047485,15.468756602878326,191.29003063238156,6.060810441136158e-05,-0.002321512587850801,0.10764913714807187,-0.0036172793632283217,-0.010804810209197492,0.011394236861168713,-0.9469260304089583,26.57893624393974,151.96900392731197,False
