Vrf_mean_GV,depth,ramp_turns,Vrf_mean_kV,min_time_sigma_ns,turn_of_min,eps_growth,valid
0.00015,0.6166666666666668,3000,150.0,2.1947962953360265,7883,-304.0712249198386,True
0.00015,0.6166666666666668,3500,150.0,2.0934349548072753,7878,-268.63289511865196,True
0.00015,0.6166666666666668,4000,150.0,2.062573315921474,7873,-237.46745608833837,True
0.00015,0.8750000000000002,2000,150.0,2.225187708925578,6000,-413.34536760696545,True
0.00015,0.8750000000000002,2500,150.0,1.9942148402820694,5994,-349.65752514189484,True
0.00015,0.8750000000000002,3000,150.0,1.9066565988769562,5989,-297.3951140907334,True
0.00015,0.8750000000000002,3500,150.0,1.9175128078172439,5983,-249.51188605887754,True
0.00015,0.8750000000000002,4000,150.0,2.002848823754405,5979,-209.35352244175715,True
0.00015,1.1333333333333337,2000,150.0,2.0244211721403955,4086,-195.14229816633602,True
0.00015,1.1333333333333337,2500,150.0,2.2298404968468843,4087,-156.90237364079118,True
0.00015,1.1333333333333337,3000,150.0,2.453456462649425,4088,-128.1617381283054,True
0.00015,1.1333333333333337,3500,150.0,2.389800712387485,5976,-535.8606741743597,True
0.00015,1.1333333333333337,4000,150.0,1.9648113468871438,5966,-433.3210437978645,True
